Questions,URL,Answers
Am I required to serve a Stay-Home Notice (SHN)? How long is the SHN?,ICA/001,"The duration of your SHN, if required, depends on your travel history prior to arrival in Singapore, and Safe Travel Lane used. Please check the page here on the Safe Travel Lanes available depending on your traveller profile and travel history. The length of your SHN will be stipulated in the Entry Approval Letter or Safe Travel Pass issued."
How long do I need to serve my SHN?,ICA/001,"The duration of your SHN, if required, depends on your travel history prior to arrival in Singapore, and Safe Travel Lane used. Please check the page here on the Safe Travel Lanes available depending on your traveller profile and travel history. The length of your SHN will be stipulated in the Entry Approval Letter or Safe Travel Pass issued."
DO I need to serve SHN when I come back?,ICA/001,"The duration of your SHN, if required, depends on your travel history prior to arrival in Singapore, and Safe Travel Lane used. Please check the page here on the Safe Travel Lanes available depending on your traveller profile and travel history. The length of your SHN will be stipulated in the Entry Approval Letter or Safe Travel Pass issued."
My place of residence is unsuitable for me to serve my Stay-Home Notice (SHN). Can I opt to serve my SHN at the SHN-Dedicated Facility (SDF) instead?,ICA/002,"Some groups of travellers are allowed to serve SHN at a self-sourced accommodation. This includes one’s place of residence or a suitable hotel. A place of residence is deemed suitable for SHN if travellers have a room to themselves, and a dedicated toilet. Please read the latest health advisory on the things to note when serving your SHN at www.moh.gov.sg/covid-19. Travellers without a suitable place of residence for SHN may make a direct reservation with a suitable hotel from this list. Before a room booking is made, travellers should check and ensure that the hotel can accommodate guests serving their SHN."
Can I choose to go to a SHN facility instead?,ICA/002,"Some groups of travellers are allowed to serve SHN at a self-sourced accommodation. This includes one’s place of residence or a suitable hotel. A place of residence is deemed suitable for SHN if travellers have a room to themselves, and a dedicated toilet. Please read the latest health advisory on the things to note when serving your SHN at www.moh.gov.sg/covid-19. Travellers without a suitable place of residence for SHN may make a direct reservation with a suitable hotel from this list. Before a room booking is made, travellers should check and ensure that the hotel can accommodate guests serving their SHN."
Where can I check the list of SHN hotels?,ICA/002,"Some groups of travellers are allowed to serve SHN at a self-sourced accommodation. This includes one’s place of residence or a suitable hotel. A place of residence is deemed suitable for SHN if travellers have a room to themselves, and a dedicated toilet. Please read the latest health advisory on the things to note when serving your SHN at www.moh.gov.sg/covid-19. Travellers without a suitable place of residence for SHN may make a direct reservation with a suitable hotel from this list. Before a room booking is made, travellers should check and ensure that the hotel can accommodate guests serving their SHN."
"I had left for Singapore from a country/region where I have the option of serving my Stay-Home Notice(SHN) at my own residence rather than an SHN-Dedicated Facility (SDF). However, I had transited to Singapore via a second country, which requires mandatory SHN at an SDF. Which SHN measure will apply to me?",ICA/003,"The more stringent travel health control measures would apply. This means that a traveller who had transited to Singapore via a second country where mandatory SDF stay is required, will serve their SHN at an SDF upon arrival into Singapore."
I travelled to 2 countries where one gave the option of serving my Stay-Home Notice(SHN) at my own residence while the other requires mandatory SHN at an SDF. Which SHN measure will apply to me?,,
I am presently serving my Stay-Home Notice (SHN). How do I obtain my daily necessities?,ICA/004,"An SHN is a legal notice issued under the Infectious Diseases Act, which directs its recipients to remain in their place of residence or SHN-Dedicated Facilities (SDF) at all times for a stipulated period. Any breach in SHN requirements is punishable under Singapore’s laws and additional penalties such as the revocation of a Work Pass may also be taken by the relevant authorities. Travellers should note that basic essentials such as portable water, cleaning supplies as well as daily meals (three times a day based on dietary preference) will be provided by the SDF. Should you require extra food and essentials, you may opt for home delivery services or enlist the help of others. When collecting these items, please refrain from collecting them personally. If you have other specific needs during the SHN period you may call the SafeTravel Enquiries helpline at 6812 5555."
Can I go out to buy my daily necessities while on SHN?,ICA/004,"An SHN is a legal notice issued under the Infectious Diseases Act, which directs its recipients to remain in their place of residence or SHN-Dedicated Facilities (SDF) at all times for a stipulated period. Any breach in SHN requirements is punishable under Singapore’s laws and additional penalties such as the revocation of a Work Pass may also be taken by the relevant authorities. Travellers should note that basic essentials such as portable water, cleaning supplies as well as daily meals (three times a day based on dietary preference) will be provided by the SDF. Should you require extra food and essentials, you may opt for home delivery services or enlist the help of others. When collecting these items, please refrain from collecting them personally. If you have other specific needs during the SHN period you may call the SafeTravel Enquiries helpline at 6812 5555."
When does the Stay-Home Notice (SHN) generally begin and how would I know if it has ended?,ICA/005,"The SHN commences from the time the notice is issued to the traveller on arrival in Singapore and will be in effect until the traveller is notified of a negative result from the final COVID-19 Polymerase Chain Reaction test (“PCR test”) at the end of SHN. The duration of the SHN will be stated on your SHN document, and you can also click here to calculate the end date of your SHN. Travellers who are serving SHN at their own place of residence may end their SHN once they receive an SMS with their test result. Travellers who are staying in SDF will be alerted by the SDF concierge on their check out time when they have received confirmation of the PCR test result."
When will SHN start and end?,ICA/005,"The SHN commences from the time the notice is issued to the traveller on arrival in Singapore and will be in effect until the traveller is notified of a negative result from the final COVID-19 Polymerase Chain Reaction test (“PCR test”) at the end of SHN. The duration of the SHN will be stated on your SHN document, and you can also click here to calculate the end date of your SHN. Travellers who are serving SHN at their own place of residence may end their SHN once they receive an SMS with their test result. Travellers who are staying in SDF will be alerted by the SDF concierge on their check out time when they have received confirmation of the PCR test result."
What should I do if I need to attend to an emergency before checking into my Stay-Home Notice Dedicated Facility (SDF)?,ICA/006,"As a condition for entry into Singapore, all travellers must commute directly to their SHN accommodation or SDF immediately after clearing immigration. The failure to do so constitutes a breach of the SHN requirements which is punishable under Singapore’s laws. In the event of an emergency, travellers may contact the SafeTravel Enquiries helpline at 6812 5555 for assistance and advice."
