Question,,Answer
What is the phased resumption of face-to-face lessons for primary schools? When will my child return to school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will my Primary 1 child return to school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will my Pri 2 child return to school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will my Pri 3 child return to school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will my Pri 4 child return to school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will my Primary 5 child have f2f lessons to school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will my Primary 6 child have face to face lessons in school?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
When will HBL end for primary schools?,MOE/001,"MOE had earlier implemented Home-Based Learning (HBL) in primary schools and Special Education (SPED) schools to reduce the possible disruption to the cohort taking the PSLE and as an additional precautionary measure.

MOE will progressively bring Primary 1 to 6 students back to school for face-to-face lessons from Monday, 11 October 2021, to ensure physical schooling resumes in a safe manner. This is in line with our approach to minimise prolonged HBL where possible, for the social-emotional well-being of students.

To ensure that Safe Management Measures (SMMs) can be implemented effectively as students return to school, MOE will phase the return of students from Term 4 Week 5:

Primary 3 to 6 students returning from Monday, 11 October.
Primary 1 and 2 students to continue with HBL on Monday, 11 and Tuesday, 12 October, and return to school for face-to-face lessons only from Wednesday, 13 October.
SPED schools will be provided with more details on the phased return of students."
Why is MOE not extending HBL when the daily COVID-19 community cases remain high and most primary school students are not vaccinated?,MOE/002,"In line with Singapore's transition towards COVID resilience, we cannot be having HBL on a prolonged basis and indefinitely delay the re-opening of our schools. It comes at a cost not just to students' learning but also their social-emotional development and mental well-being. It also imposes a burden to families and society.

Schooling remains an essential activity and can be carried out safely with the necessary measures in place. Schools will adhere strictly to the necessary safe management measures to ensure the safety of all students and staff."
Why not extend HBL?,MOE/002,"In line with Singapore's transition towards COVID resilience, we cannot be having HBL on a prolonged basis and indefinitely delay the re-opening of our schools. It comes at a cost not just to students' learning but also their social-emotional development and mental well-being. It also imposes a burden to families and society.

Schooling remains an essential activity and can be carried out safely with the necessary measures in place. Schools will adhere strictly to the necessary safe management measures to ensure the safety of all students and staff."
Why not extend Home Based Learning?,MOE/002,"In line with Singapore's transition towards COVID resilience, we cannot be having HBL on a prolonged basis and indefinitely delay the re-opening of our schools. It comes at a cost not just to students' learning but also their social-emotional development and mental well-being. It also imposes a burden to families and society.

Schooling remains an essential activity and can be carried out safely with the necessary measures in place. Schools will adhere strictly to the necessary safe management measures to ensure the safety of all students and staff."
Can I don’t send my child to school?,MOE/002,"In line with Singapore's transition towards COVID resilience, we cannot be having HBL on a prolonged basis and indefinitely delay the re-opening of our schools. It comes at a cost not just to students' learning but also their social-emotional development and mental well-being. It also imposes a burden to families and society.

Schooling remains an essential activity and can be carried out safely with the necessary measures in place. Schools will adhere strictly to the necessary safe management measures to ensure the safety of all students and staff."
Can I not send my child to school?,MOE/002,"In line with Singapore's transition towards COVID resilience, we cannot be having HBL on a prolonged basis and indefinitely delay the re-opening of our schools. It comes at a cost not just to students' learning but also their social-emotional development and mental well-being. It also imposes a burden to families and society.

Schooling remains an essential activity and can be carried out safely with the necessary measures in place. Schools will adhere strictly to the necessary safe management measures to ensure the safety of all students and staff."
Why is MOE not cancelling year-end examinations for Primary 5 students?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
Why MOE never cancel pri 5 exams?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
Why MOE never cancel exams for pri 5?,MOE/003,"MOE has carefully considered students' well-being while ensuring sufficient feedback on their readiness and learning progress.

The Primary 5 year-end examinations are useful for teachers, students and parents to know how well students have learned and how to close learning gaps going forward. It will also allow parents to obtain a better understanding of their child's learning progress in relation to the Achievement Level (AL) scoring system, prior to taking the PSLE next year. We would like to assure parents that this year-end examination is not a requirement for the Primary 5 student to progress to Primary 6, but a useful check for the student in their learning and preparation for PSLE next year.

The year-end examinations for Primary 5 students will still proceed under SMMs."
