Question,URL,Answer,keywords
I have tested positive using ART but have no symptoms. Do I need to go to a clinic to take a PCR test?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","ART, PCR"
My ART is positive. I feel well. What should i do next?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
I tested positive for ART. Do I need to do PCR test?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","ART, PCR"
My ART results shows positive. What's next?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
"I did my ART. Its positive, how?",/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
My ART results is negative. Anything else I should do?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
"My ART is positive, should I see a doctor now?",/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
Who should I inform if my ART test is positive?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
Do I need to see doctor if my ART is positive,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
Can advise me what to do next after I have done my ART test?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","MOH, ART"
Do i need inform MOH of my ART results?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",covid
I have been tested positive for covid 19,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",symptoms
I am positive but I have no symptoms,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
I'm positive on ART but not feeling sick,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive",ART
I have been tested positive but I do not have fever or cough,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","fever, cough"
I have tested positive using ART but have no symptoms. What should I do?,/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","ART, symptoms"
"My ART results showed Covid positive, but I have no symptoms. What should I do?",/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","ART, COVID, symptoms"
"My ART results showed Covid+, but I have no symptoms. What should I do?",/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","ART, COVID, symptoms"
"My ART results showed C+, but I have no symptoms. What should I do?",/questions/401,"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a PCR test.
Click here  to find out what to do next. https://www.covid.gov.sg/well-but-positive","home recovery, isolate"
A household member of mine is undergoing Home Recovery. Do I need to self-isolate?,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw","covid, quarantine"
My father and mother have covid 19 positive. Do I need to be quarantine?,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",covid
My parents have covid and they are staying with me. What should I do?,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",covid
My family members are doing home recovery. Do I need to self-isolate?,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw","home recovery, isolate"
My family members are doing home recovery. Can I go out?,/questions/455,"If a member of your household is on Home Recovery, they will need to register you and your household members as close contacts. Your household members will receive a Health Risk Warning (HRW).
Click here  to find out what you need to do when you are placed on HRW. https://www.covid.gov.sg/exposed/hrw",home recovery
